"Date","State","Bill","Bill Description","Bill Type","Status","Bill Link","year"
2022-01-19,"New York","A09005","Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2022-2023 state fiscal year; makes certain provisions relating to the criminal justice discovery compensation fund permanent (Part A); provides for incarcerated individuals who have a gender identity that differs from their assigned sex at birth, have a diagnosis of gender dysphoria, who identify as transgender, gender nonconforming, or nonbinary, or who are intersex to request to be placed in a correctional facility with persons of the gender that is consistent with such incarcerated individual's gender identity (Part B); expands limited credit time and eligibility for furloughs and educational leave (Part C); repeals the supervision fee paid by individuals who are in a supervised release program (Part D); authorizes the department of corrections and community supervision access to certain records (Part E); requires members of the state parole board to devote their entire time to the duties of their office (Part F); suspends the transfer of monies into the New York state emergency services revolving loan fund from the public safety communications account for the state fiscal years 2022--2023 and 2023--2024 (Part G); establishes a mandatory training certification for all domestic and gender-based victim advocates (Part H); provides for awarding reimbursement for certain items of essential personal property (Part I); extends provisions relating to value limitations on contracts (Part J); allows a municipality to elect to receive notice by email (Part K); requires certain information to be requested in applications for licenses; repeals certain provisions of such law relating thereto (Part L); makes permanent provisions relating to liquidator's permits and temporary retail permits (Part M); modifies voter registration deadlines (Part N); provides for the boundaries of election districts and the designation of polling places (Part O); permits retail licensees for on-premises consumption of alcohol to sell and deliver alcoholic beverages for off-premises consumption (Part P); prohibits nepotism and certain gifts and conflicts of interest (Part Q); permits the civil service department or a municipal commission to establish a continuing eligible list for any class of positions for which it finds such lists are appropriate (Part R); permits employees in the state service in the non-competitive or labor class the same opportunity as employees in the competitive class to take promotion examinations (Part S); grants employees hired under sections 55-B and 55-C of the civil service law the opportunity to transfer into competitive class positions, provided that such employees meet the requirements for competitive examination and possess the requisite credentials, licenses and certifications as necessary (Part T); expands eligibility for shift pay differentials (Part U); provides for the rate of interest to be paid on judgement and accrued claims (Part V); streamlines the county-wide shared services initiative (Part W); provides aid and incentives for municipalities to towns and villages (Part X); provides for the administration of certain funds and accounts related to the 2022-2023 budget, authorizing certain payments and transfers; provides for the administration of certain funds and accounts; permits the issuance of certain bonds or notes; provides for personal income tax notes for 2022; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities for 2022; relates to state-supported debt issued during the 2022 fiscal year; provides for payments of certain bonds; authorizes and directs the state comptroller to utilize the mental health services fund for certain purposes (Part Y); establishes the ""independent ethics commission reform act of 2022"", creating the independent commission on ethics and lobbying in government (Part Z); provides for the automatic sealing of certain convictions (Part AA); provides for employment of incarcerated individuals by a private sector entity or as part of a prison industries certification program authorized by the United States (Part BB).","Youth Athletics","Introduced","https://legiscan.com/NY/bill/A09005/2021","2022"
2022-01-19,"New York","S08005","Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2022-2023 state fiscal year; makes certain provisions relating to the criminal justice discovery compensation fund permanent (Part A); provides for incarcerated individuals who have a gender identity that differs from their assigned sex at birth, have a diagnosis of gender dysphoria, who identify as transgender, gender nonconforming, or nonbinary, or who are intersex to request to be placed in a correctional facility with persons of the gender that is consistent with such incarcerated individual's gender identity (Part B); expands limited credit time and eligibility for furloughs and educational leave (Part C); repeals the supervision fee paid by individuals who are in a supervised release program (Part D); authorizes the department of corrections and community supervision access to certain records (Part E); requires members of the state parole board to devote their entire time to the duties of their office (Part F); suspends the transfer of monies into the New York state emergency services revolving loan fund from the public safety communications account for the state fiscal years 2022--2023 and 2023--2024 (Part G); establishes a mandatory training certification for all domestic and gender-based victim advocates (Part H); provides for awarding reimbursement for certain items of essential personal property (Part I); extends provisions relating to value limitations on contracts (Part J); allows a municipality to elect to receive notice by email (Part K); requires certain information to be requested in applications for licenses; repeals certain provisions of such law relating thereto (Part L); makes permanent provisions relating to liquidator's permits and temporary retail permits (Part M); modifies voter registration deadlines (Part N); provides for the boundaries of election districts and the designation of polling places (Part O); permits retail licensees for on-premises consumption of alcohol to sell and deliver alcoholic beverages for off-premises consumption (Part P); prohibits nepotism and certain gifts and conflicts of interest (Part Q); permits the civil service department or a municipal commission to establish a continuing eligible list for any class of positions for which it finds such lists are appropriate (Part R); permits employees in the state service in the non-competitive or labor class the same opportunity as employees in the competitive class to take promotion examinations (Part S); grants employees hired under sections 55-B and 55-C of the civil service law the opportunity to transfer into competitive class positions, provided that such employees meet the requirements for competitive examination and possess the requisite credentials, licenses and certifications as necessary (Part T); expands eligibility for shift pay differentials (Part U); provides for the rate of interest to be paid on judgement and accrued claims (Part V); streamlines the county-wide shared services initiative (Part W); provides aid and incentives for municipalities to towns and villages (Part X); provides for the administration of certain funds and accounts related to the 2022-2023 budget, authorizing certain payments and transfers; provides for the administration of certain funds and accounts; permits the issuance of certain bonds or notes; provides for personal income tax notes for 2022; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities for 2022; relates to state-supported debt issued during the 2022 fiscal year; provides for payments of certain bonds; authorizes and directs the state comptroller to utilize the mental health services fund for certain purposes (Part Y); establishes the ""independent ethics commission reform act of 2022"", creating the independent commission on ethics and lobbying in government (Part Z); provides for the automatic sealing of certain convictions (Part AA); provides for employment of incarcerated individuals by a private sector entity or as part of a prison industries certification program authorized by the United States (Part BB).","Youth Athletics","Introduced","https://legiscan.com/NY/bill/S08005/2021","2022"
2022-01-18,"Alaska","HB230","An Act relating to school athletics, recreation, athletic teams, and sports.","Youth Athletics","Introduced","https://legiscan.com/AK/bill/HB230/2021","2022"
2022-01-13,"Iowa","SF2025","A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.","Youth Athletics","Dead/Failed","https://legiscan.com/IA/bill/SF2025/2021","2022"
2022-01-13,"Washington","HB1960","Concerning the housing of inmates in state correctional facilities.","Youth Athletics","Dead/Failed","https://legiscan.com/WA/bill/HB1960/2021","2022"
2022-01-12,"United States","SB3481","A bill to secure the dignity and safety of incarcerated women.","Youth Athletics","Introduced","https://legiscan.com/US/bill/SB3481/2021","2022"
2022-01-11,"South Carolina","H4608","Amend The Code Of Laws Of South Carolina, 1976, To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Express Legislative Intent And Make Certain Findings; To Require Gender-based Or Coeducational Designation Of Certain Public Secondary And Postsecondary School Sports Teams; To Provide Such Sports Teams Designated For Males May Be Open To Female Student Participants; To Provide Such Sports Teams Designated For Females May Not Be Open To Male Participants; To Provide Assumptions Concerning The Correctness Of Biological Gender Statements On Official Birth Certificates Of Students; And To Provide Remedies To Students And Schools For Violations Of The Provisions Of This Act.","Youth Athletics","Dead/Failed","https://legiscan.com/SC/bill/H4608/2021","2022"
2021-11-10,"Massachusetts","S2580","Site Information & Links","Youth Athletics","Introduced","https://legiscan.com/MA/bill/S2580/2021","2021"
2021-10-25,"Texas","HB25","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Signed/Enacted","https://legiscan.com/TX/bill/HB25/2021/X3","2021"
2021-10-21,"United States","SB3037","A bill to require elementary schools and secondary schools that receive Federal funds to obtain parental consent before facilitating a child's gender transition in any form, and for other purposes.","Youth Athletics","Introduced","https://legiscan.com/US/bill/SB3037/2021","2021"
2021-10-19,"Ohio","HB454","To enact sections 3129.01, 3129.02, 3129.03, 3129.04, 3129.05, 3129.06, 3129.07, and 3129.08 of the Revised Code to prohibit certain procedures to alter a minor child's sex and to designate this act as the Save Adolescents from Experimentation (SAFE) Act.","Youth Athletics","Introduced","https://legiscan.com/OH/bill/HB454/2021","2021"
2021-10-15,"Arkansas","SB347","To Create The Vulnerable Child Protection Act; And To Prohibit Gender Reassignment Services For Minors.","Healthcare","Dead/Failed","https://legiscan.com/AR/bill/SB347/2021","2021"
2021-10-15,"Arkansas","HB1882","To Create The Arkansas Privacy Accommodations Act; And To Amend The Law Concerning Public Property.","Youth Athletics","Dead/Failed","https://legiscan.com/AR/bill/HB1882/2021","2021"
2021-10-15,"Arkansas","HB1749","To Prohibit Requiring Public School And Institution Of Higher Education Employees From Addressing A Student By A Term That Identifies A Student As Male Or Female And That Is Inconsistent With The Student's Biological Sex.","Youth Athletics","Dead/Failed","https://legiscan.com/AR/bill/HB1749/2021","2021"
2021-10-15,"Arkansas","SJR16","An Amendment To The Arkansas Constitution Providing That Interscholastic Or Intramural Athletic Teams That Are Sponsored By A Public School Shall Be Expressly Designated Based On Biological Sex.","Youth Athletics","Dead/Failed","https://legiscan.com/AR/bill/SJR16/2021","2021"
2021-09-22,"Texas","SB3","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB3/2021/X3","2021"
2021-09-20,"Texas","HB10","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB10/2021/X3","2021"
2021-09-20,"Texas","SB27","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB27/2021/X3","2021"
2021-09-20,"Texas","HB84","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB84/2021/X3","2021"
2021-09-20,"Texas","SB29","Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain minors.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB29/2021/X3","2021"
2021-09-14,"Texas","HB65","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB65/2021/X3","2021"
2021-09-09,"Texas","HB26","Relating to the definition of abuse of a child.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB26/2021/X3","2021"
2021-09-09,"Texas","HB24","Relating to requiring public school and public institution of higher education students to participate in interscholastic athletic activities based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB24/2021/X3","2021"
2021-09-08,"Texas","SB17","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB17/2021/X3","2021"
2021-09-08,"Texas","SB15","Relating to the provision of certain gender-affirming therapy and counseling to children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB15/2021/X3","2021"
2021-08-11,"Texas","SB2","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB2/2021/X2","2021"
2021-08-10,"Texas","HB142","Relating to protection of persons from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.","Healthcare","Introduced","https://legiscan.com/TX/bill/HB142/2021/X2","2021"
2021-08-09,"Texas","HB133","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB133/2021/X2","2021"
2021-08-07,"Texas","HB25","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB25/2021/X2","2021"
2021-08-07,"Texas","HB96","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB96/2021/X2","2021"
2021-08-07,"Texas","HB100","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB100/2021/X2","2021"
2021-08-07,"Texas","HB102","Relating to requiring public school and public institution of higher education students to participate in interscholastic athletic activities based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB102/2021/X2","2021"
2021-08-06,"Texas","SB39","Relating to the definition of abuse of a child.","Healthcare","Introduced","https://legiscan.com/TX/bill/SB39/2021/X2","2021"
2021-08-06,"Texas","HB38","Relating to the definition of abuse of a child.","Healthcare","Introduced","https://legiscan.com/TX/bill/HB38/2021/X2","2021"
2021-08-06,"Texas","SB34","Relating to protection of individuals from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.","Healthcare","Introduced","https://legiscan.com/TX/bill/SB34/2021/X2","2021"
2021-08-06,"Texas","SB23","Relating to the provision of certain gender-affirming therapy and counseling to children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB23/2021/X2","2021"
2021-08-06,"Texas","SB22","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB22/2021/X2","2021"
2021-08-06,"Texas","SB40","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB40/2021/X2","2021"
2021-07-19,"Maine","LD926","An Act To Ban Biological Males from Participating in Women's Sports","Youth Athletics","Dead/Failed","https://legiscan.com/ME/bill/LD926/2021","2021"
2021-07-15,"Texas","HB274","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB274/2021/X1","2021"
2021-07-14,"Texas","SB32","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB32/2021/X1","2021"
2021-07-14,"Texas","SB2","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB2/2021/X1","2021"
2021-07-12,"Texas","SB70","Relating to the definition of abuse of a child.","Healthcare","Introduced","https://legiscan.com/TX/bill/SB70/2021/X1","2021"
2021-07-09,"Texas","HB181","Relating to the definition of abuse of a child.","Healthcare","Introduced","https://legiscan.com/TX/bill/HB181/2021/X1","2021"
2021-07-09,"Texas","HB210","Relating to protection of persons from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.","Healthcare","Introduced","https://legiscan.com/TX/bill/HB210/2021/X1","2021"
2021-07-09,"Texas","SB66","Relating to the provision of certain gender-affirming therapy and counseling to children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB66/2021/X1","2021"
2021-07-09,"Texas","HB212","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB212/2021/X1","2021"
2021-07-09,"Texas","HB187","Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB187/2021/X1","2021"
2021-07-09,"Texas","HB185","Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB185/2021/X1","2021"
2021-07-09,"Texas","HB217","Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain minors.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB217/2021/X1","2021"
2021-07-08,"Texas","HB166","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB166/2021/X1","2021"
2021-07-08,"Texas","HB179","Relating to the separation based on biological sex of athletics teams sponsored by a public school or institution of higher education.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB179/2021/X1","2021"
2021-07-07,"Texas","HB89","Relating to the definition of abuse of a child.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB89/2021/X1","2021"
2021-07-07,"Texas","SB18","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/SB18/2021/X1","2021"
2021-07-07,"Texas","HB90","Relating to requiring public school and public institution of higher education students to participate in interscholastic athletic activities based on biological sex.","Youth Athletics","Introduced","https://legiscan.com/TX/bill/HB90/2021/X1","2021"
2021-06-30,"Arizona","SB1637","Biological sex; interscholastic athletics","Youth Athletics","Introduced","https://legiscan.com/AZ/bill/SB1637/2021","2021"
2021-06-25,"Missouri","SB9","Establishes the ""Save Women's Sports Act"" to protect female-only athletics in middle schools, high schools, and colleges","Youth Athletics","Introduced","https://legiscan.com/MO/bill/SB9/2021/X1","2021"
2021-06-24,"Ohio","SB187","To enact sections 3313.5317, 3345.561, 3376.01, 3376.02, 3376.03, 3376.04, 3376.05, 3376.06, 3376.07, and 3376.08 of the Revised Code to allow intercollegiate athletes to earn compensation from their name, image, or likeness, to enact the Save Women's Sports Act to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex.","Youth Athletics","Passed","https://legiscan.com/OH/bill/SB187/2021","2021"
2021-06-22,"Michigan","HB5082","Education: athletics; requirement that only biological males may compete for a position on and compete on a boys' high school team in an interscholastic activity and only biological females may compete for a position on and compete on a girls' high school team in an interscholastic activity; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a & repeals sec. 1289 of 1976 PA 451 (MCL 380.1289).","Youth Athletics","Introduced","https://legiscan.com/MI/bill/HB5082/2021","2021"
2021-06-21,"Louisiana","SB156","Provides for the Fairness in Women's Sports Act relative to a school's ability to offer opportunities to each student to participate in team sporting events on an equal basis. (8/1/21) (EN NO IMPACT LF EX See Note)","Youth Athletics","Vetoed","https://legiscan.com/LA/bill/SB156/2021","2021"
2021-06-17,"Maine","LD1238","An Act To Protect Women's Single-sex Shelters","Public Facilities","Dead/Failed","https://legiscan.com/ME/bill/LD1238/2021","2021"
2021-06-16,"Wisconsin","AB195","An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes; Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.","Youth Athletics","Crossed Over","https://legiscan.com/WI/bill/AB195/2021","2021"
2021-06-16,"Wisconsin","AB196","An Act to amend 118.13 (1); and to create 118.132 of the statutes; Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.","Youth Athletics","Crossed Over","https://legiscan.com/WI/bill/AB196/2021","2021"
2021-06-09,"Maine","LD1401","An Act To Prohibit Biological Males from Participating in School Athletic Programs and Activities Designated for Females at Schools That Receive Federal Funding","Youth Athletics","Dead/Failed","https://legiscan.com/ME/bill/LD1401/2021","2021"
