Date,State,Bill,Bill Description,Bill Type,Status,Bill Link
2022-01-19,New York,A09005,"Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2022-2023 state fiscal year; makes certain provisions relating to the criminal justice discovery compensation fund permanent (Part A); provides for incarcerated individuals who have a gender identity that differs from their assigned sex at birth, have a diagnosis of gender dysphoria, who identify as transgender, gender nonconforming, or nonbinary, or who are intersex to request to be placed in a correctional facility with persons of the gender that is consistent with such incarcerated individual's gender identity (Part B); expands limited credit time and eligibility for furloughs and educational leave (Part C); repeals the supervision fee paid by individuals who are in a supervised release program (Part D); authorizes the department of corrections and community supervision access to certain records (Part E); requires members of the state parole board to devote their entire time to the duties of their office (Part F); suspends the transfer of monies into the New York state emergency services revolving loan fund from the public safety communications account for the state fiscal years 2022--2023 and 2023--2024 (Part G); establishes a mandatory training certification for all domestic and gender-based victim advocates (Part H); provides for awarding reimbursement for certain items of essential personal property (Part I); extends provisions relating to value limitations on contracts (Part J); allows a municipality to elect to receive notice by email (Part K); requires certain information to be requested in applications for licenses; repeals certain provisions of such law relating thereto (Part L); makes permanent provisions relating to liquidator's permits and temporary retail permits (Part M); modifies voter registration deadlines (Part N); provides for the boundaries of election districts and the designation of polling places (Part O); permits retail licensees for on-premises consumption of alcohol to sell and deliver alcoholic beverages for off-premises consumption (Part P); prohibits nepotism and certain gifts and conflicts of interest (Part Q); permits the civil service department or a municipal commission to establish a continuing eligible list for any class of positions for which it finds such lists are appropriate (Part R); permits employees in the state service in the non-competitive or labor class the same opportunity as employees in the competitive class to take promotion examinations (Part S); grants employees hired under sections 55-B and 55-C of the civil service law the opportunity to transfer into competitive class positions, provided that such employees meet the requirements for competitive examination and possess the requisite credentials, licenses and certifications as necessary (Part T); expands eligibility for shift pay differentials (Part U); provides for the rate of interest to be paid on judgement and accrued claims (Part V); streamlines the county-wide shared services initiative (Part W); provides aid and incentives for municipalities to towns and villages (Part X); provides for the administration of certain funds and accounts related to the 2022-2023 budget, authorizing certain payments and transfers; provides for the administration of certain funds and accounts; permits the issuance of certain bonds or notes; provides for personal income tax notes for 2022; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities for 2022; relates to state-supported debt issued during the 2022 fiscal year; provides for payments of certain bonds; authorizes and directs the state comptroller to utilize the mental health services fund for certain purposes (Part Y); establishes the ""independent ethics commission reform act of 2022"", creating the independent commission on ethics and lobbying in government (Part Z); provides for the automatic sealing of certain convictions (Part AA); provides for employment of incarcerated individuals by a private sector entity or as part of a prison industries certification program authorized by the United States (Part BB).",Youth Athletics,Introduced,https://legiscan.com/NY/bill/A09005/2021
2022-01-19,New York,S08005,"Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2022-2023 state fiscal year; makes certain provisions relating to the criminal justice discovery compensation fund permanent (Part A); provides for incarcerated individuals who have a gender identity that differs from their assigned sex at birth, have a diagnosis of gender dysphoria, who identify as transgender, gender nonconforming, or nonbinary, or who are intersex to request to be placed in a correctional facility with persons of the gender that is consistent with such incarcerated individual's gender identity (Part B); expands limited credit time and eligibility for furloughs and educational leave (Part C); repeals the supervision fee paid by individuals who are in a supervised release program (Part D); authorizes the department of corrections and community supervision access to certain records (Part E); requires members of the state parole board to devote their entire time to the duties of their office (Part F); suspends the transfer of monies into the New York state emergency services revolving loan fund from the public safety communications account for the state fiscal years 2022--2023 and 2023--2024 (Part G); establishes a mandatory training certification for all domestic and gender-based victim advocates (Part H); provides for awarding reimbursement for certain items of essential personal property (Part I); extends provisions relating to value limitations on contracts (Part J); allows a municipality to elect to receive notice by email (Part K); requires certain information to be requested in applications for licenses; repeals certain provisions of such law relating thereto (Part L); makes permanent provisions relating to liquidator's permits and temporary retail permits (Part M); modifies voter registration deadlines (Part N); provides for the boundaries of election districts and the designation of polling places (Part O); permits retail licensees for on-premises consumption of alcohol to sell and deliver alcoholic beverages for off-premises consumption (Part P); prohibits nepotism and certain gifts and conflicts of interest (Part Q); permits the civil service department or a municipal commission to establish a continuing eligible list for any class of positions for which it finds such lists are appropriate (Part R); permits employees in the state service in the non-competitive or labor class the same opportunity as employees in the competitive class to take promotion examinations (Part S); grants employees hired under sections 55-B and 55-C of the civil service law the opportunity to transfer into competitive class positions, provided that such employees meet the requirements for competitive examination and possess the requisite credentials, licenses and certifications as necessary (Part T); expands eligibility for shift pay differentials (Part U); provides for the rate of interest to be paid on judgement and accrued claims (Part V); streamlines the county-wide shared services initiative (Part W); provides aid and incentives for municipalities to towns and villages (Part X); provides for the administration of certain funds and accounts related to the 2022-2023 budget, authorizing certain payments and transfers; provides for the administration of certain funds and accounts; permits the issuance of certain bonds or notes; provides for personal income tax notes for 2022; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities for 2022; relates to state-supported debt issued during the 2022 fiscal year; provides for payments of certain bonds; authorizes and directs the state comptroller to utilize the mental health services fund for certain purposes (Part Y); establishes the ""independent ethics commission reform act of 2022"", creating the independent commission on ethics and lobbying in government (Part Z); provides for the automatic sealing of certain convictions (Part AA); provides for employment of incarcerated individuals by a private sector entity or as part of a prison industries certification program authorized by the United States (Part BB).",Youth Athletics,Introduced,https://legiscan.com/NY/bill/S08005/2021
2022-01-18,Alaska,HB230,"An Act relating to school athletics, recreation, athletic teams, and sports.",Youth Athletics,Introduced,https://legiscan.com/AK/bill/HB230/2021
2022-01-13,Iowa,SF2025,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.,Youth Athletics,Introduced*,https://legiscan.com/IA/bill/SF2025/2021
2022-01-13,Washington,HB1960,Concerning the housing of inmates in state correctional facilities.,Youth Athletics,Introduced*,https://legiscan.com/WA/bill/HB1960/2021
2022-01-12,United States,SB3481,A bill to secure the dignity and safety of incarcerated women.,Youth Athletics,Introduced,https://legiscan.com/US/bill/SB3481/2021
2022-01-11,South Carolina,H4608,"Amend The Code Of Laws Of South Carolina, 1976, To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Express Legislative Intent And Make Certain Findings; To Require Gender-based Or Coeducational Designation Of Certain Public Secondary And Postsecondary School Sports Teams; To Provide Such Sports Teams Designated For Males May Be Open To Female Student Participants; To Provide Such Sports Teams Designated For Females May Not Be Open To Male Participants; To Provide Assumptions Concerning The Correctness Of Biological Gender Statements On Official Birth Certificates Of Students; And To Provide Remedies To Students And Schools For Violations Of The Provisions Of This Act.",Youth Athletics,Introduced*,https://legiscan.com/SC/bill/H4608/2021
2021-11-10,Massachusetts,S2580,Site Information & Links,Youth Athletics,Introduced,https://legiscan.com/MA/bill/S2580/2021
2021-10-25,Texas,HB25,Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.,Youth Athletics,Signed/Enacted,https://legiscan.com/TX/bill/HB25/2021/X3
2021-10-21,United States,SB3037,"A bill to require elementary schools and secondary schools that receive Federal funds to obtain parental consent before facilitating a child's gender transition in any form, and for other purposes.",Youth Athletics,Introduced,https://legiscan.com/US/bill/SB3037/2021
