Date,State,Bill,Bill Description,Bill Type,Status,Bill Link
2022-11-16,United States,HR1475,"This resolution requests the President and directs the Department of Defense (DOD) to transmit to the House of Representatives any record created on or after January 21, 2021, that pertains to DOD and includes certain terms and phrases relating to gender (e.g., transgender).",Other,Introduced,https://legiscan.com/US/bill/HR1475/2021
2022-11-14,Illinois,SB4213,"Amends the School Code. Provides that, for interscholastic athletic programs or comparable programs supported from school district funds, a student's sex shall be the student's biological gender assigned at birth. Provides that, in determining a student's biological gender, a statement of a student's biological sex on the student's official birth certificate is considered to have correctly stated the student's biological sex at birth if the statement was filed at or near the time of the student's birth. Amends the Board of Higher Education Act. Provides that interscholastic athletic teams or sports that are operated by a public university must be expressly designated based on the biological sex at birth of team members. Provides that a statement of a student's biological sex on the student's official birth certificate is considered to have correctly stated the student's biological sex at birth if the statement was filed at or near the time of the student's birth. Provides that an athletic team or sport designated for females, women, or girls may not be open to students of the male sex. Provides that an athletic team or sport designated for males, men, or boys may be open to students of the female sex. Amends the Public Community College Act. Makes similar changes.",Youth Athletics,Introduced*,https://legiscan.com/IL/bill/SB4213/2021
2022-10-11,Michigan,HB6454,Crimes: penalties; penalties for parents or guardians who procure gender transition surgeries or irreversible hormonal procedures for children under 18; provide for. Amends sec. 136b of 1931 PA 328 (MCL 750.136b).,Healthcare,Introduced,https://legiscan.com/MI/bill/HB6454/2021
2022-09-29,United States,SB5029,"A bill to authorize funding for, and increase accessibility to, the National Missing and Unidentified Persons System, to facilitate data sharing between such system and the National Crime Information Center database of the Federal Bureau of Investigation, to provide incentive grants to help facilitate reporting to such systems, and for other purposes.",Other,Introduced,https://legiscan.com/US/bill/SB5029/2021
2022-09-29,New Jersey,S3076,Establishes ""Child Protection and Anti-Mutilation Act."",Healthcare,Introduced,https://legiscan.com/NJ/bill/S3076/2022
2022-09-28,United States,HB9001,"To secure schools, to increase access to mental health resources, and for other purposes.",Schools / Education,Introduced,https://legiscan.com/US/bill/HB9001/2021
2022-09-14,Missouri,SB22,Creates provisions relating to the protection of children,Youth Athletics,Introduced,https://legiscan.com/MO/bill/SB22/2022/X1
2022-09-02,United States,HB8767,"Prohibits certain actions by elementary and secondary schools. Specifically, the bill prohibits schools from compelling a teacher or student to adopt, affirm, adhere to, or profess racial discrimination theory or any idea in violation of Title IV or Title VI of the Civil Rights Act of 1964; compelling a student to observe or espouse obscene or sexual materials without parental consent; instructing or requiring an employee to refer to a student using a pronoun not associated with the biological sex of the student without parental consent; acting as the agent of a parent for purposes of providing verifiable parental consent or receiving a notice or other information required to be provided to a parent; or neglecting to report sexual assault or sexual harassment on school property to the appropriate law enforcement authorities. A parent aggrieved by conduct prohibited under the bill may commerce a civil action against the school.",Youth Athletics,Introduced,https://legiscan.com/US/bill/HB8767/2021
2022-08-19,United States,HB8731,"Places restrictions on the provision of gender affirming care. Gender affirming care includes performing surgery, administering medication, or performing other procedures for the purpose of changing the body of an individual to correspond to a sex that differs from the individual's biological sex. Specifically, the bill makes it a felony to perform any gender affirming care on a minor and it permits a minor on whom such care is performed to bring a civil action against each individual who provided the care. Additionally, the bill prohibits the use of federal funds for gender affirming care or for health insurance that covers such care. Such care may not be provided in a federal health care facility or by a federal employee. The bill also prohibits qualified health plans from including coverage for gender affirming care. Further, plans that include coverage for such care are not eligible for federal subsidies. Finally, the bill prohibits institutions of higher education from offering instruction in gender affirming care. It also makes any non-U.S. national (alien under federal law) who performs gender affirming care on a minor deportable and inadmissible to the United States. The restrictions under this bill do not apply to the provision of care under certain circumstances such as when an individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action.",Healthcare,Introduced,https://legiscan.com/US/bill/HB8731/2021
2022-07-08,Pennsylvania,HB972,"An Act providing for sport activities in public institutions of higher education and public school entities to be expressly designated male, female or coed; and creating causes of action for harms suffered by designation.",Youth Athletics,Vetoed,https://legiscan.com/PA/bill/HB972/2021
2022-07-01,Delaware,SB346,"This Act generally requires a student athlete to compete for athletic teams or in sports associated with their biological sex, as determined at or near birth and based on the students birth certificate or other government record if a birth certificate is unobtainable. An exception is permitted to allow female athletes to compete in male sports if a corresponding female sport is not available.",Youth Athletics,Introduced,https://legiscan.com/DE/bill/SB346/2021
2022-06-24,Arizona,SB1046,Biological sex; interscholastic athletics,Youth Athletics,Introduced,https://legiscan.com/AZ/bill/SB1046/2022
2022-06-22,United States,SB4457,"Makes a medical practitioner who performs a gender-transition procedure on an individual who is less than 18 years of age liable for any physical, psychological, emotional, or physiological harms from the procedure for 30 years after the individual turns 18. Additionally, if a state requires medical practitioners to perform gender-transition procedures, that state shall be ineligible for federal funding from the Department of Health and Human Services. Gender-transition procedures generally include certain surgeries or hormone therapies that change the body of an individual to correspond to a sex that is discordant with the individual's biological sex. They exclude, however, interventions to treat (1) individuals who either have ambiguous external biological sex characteristics or lack a normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action; (2) infections, injuries, diseases, or disorders caused by a gender-transition procedure; or (3) a physical disorder, injury, or illness that places an individual in imminent danger of death or impairment of a major bodily function.",Healthcare,Introduced,https://legiscan.com/US/bill/SB4457/2021
2022-06-22,United States,HB8171,"Makes a medical practitioner who performs a gender-transition procedure on an individual who is less than 18 years of age liable for any physical, psychological, emotional, or physiological harms from the procedure for 30 years after the individual turns 18. Additionally, if a state requires medical practitioners to perform gender-transition procedures, that state shall be ineligible for federal funding from the Department of Health and Human Services. Gender-transition procedures generally include certain surgeries or hormone therapies that change the body of an individual to correspond to a sex that is discordant with the individual's biological sex. They exclude, however, interventions to treat (1) individuals who either have ambiguous external biological sex characteristics or lack a normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action; (2) infections, injuries, diseases, or disorders caused by a gender-transition procedure; or (3) a physical disorder, injury, or illness that places an individual in imminent danger of death or impairment of a major bodily function.",Healthcare,Introduced,https://legiscan.com/US/bill/HB8171/2021
2022-06-22,United States,HB8170,"Prohibits an elementary or secondary school from receiving federal funds unless the school complies with specified requirements related to parental consent and student gender identity. Among other requirements, school employees may not withhold information from parents about a minor student's gender transition or gender identity. The Department of Justice or a parent or guardian may bring a civil action against a school for violations.",Schools / Education,Introduced,https://legiscan.com/US/bill/HB8170/2021
2022-06-07,Pennsylvania,SB1191,"An Act providing for sport activities in public institutions of higher education and public school entities to be expressly designated male, female or coed; and creating causes of action for harm suffered by designation.",Youth Athletics,Crossed Over,https://legiscan.com/PA/bill/SB1191/2021
2022-06-06,Louisiana,SB44,Provides for the Fairness in Womens Sports Act relative to a school's ability to offer equal opportunities to each student to participate in team sporting events on an equal basis. (8/1/22) (EN SEE FISC NOTE GF EX See Note),Youth Athletics,Signed/Enacted,https://legiscan.com/LA/bill/SB44/2022
