State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,Change Hash
Arizona,SB1128,Death certificates; gender,Birth Certificate Or Identification,2/1/2023,Senate read second time,Low,,https://legiscan.com/AZ/bill/SB1128/2023,Rosanna Gabaldon,,07834630c2af9faf006d78eacda8c112
California,AB223,Change of gender and sex identifier.,Birth Certificate Or Identification,6/15/2023,Read second time. Ordered to third reading.,Safest,,https://legiscan.com/CA/bill/AB223/2023,"Chris Ward, Toni Atkins, Sabrina Cervantes, Susan Eggman, John Laird, Alex Lee, Evan Low, Steve Padilla, Scott Wiener","Hearing 2023-03-14 09:00 State Capitol, Room 437, Hearing 2023-06-13 13:30 1021 O Street, Room 2100",4ebcd6b923567244dfbf1cd90e0cdb5c
Hawaii,HB805,Relating To Vital Statistics.,Birth Certificate Or Identification,1/30/2023,"Referred to HLT, JHA, FIN, referral sheet 3",Safest,,https://legiscan.com/HI/bill/HB805/2023,Scott Saiki,,0f1479e204cfddccbd71431709efbbef
Hawaii,SB1176,Relating To Birth Certificates.,Birth Certificate Or Identification,1/27/2023,"Referred to HHS, JDC.",Safest,,https://legiscan.com/HI/bill/SB1176/2023,"Chris Lee, Stanley Chang",,9dbc774effafbc5630835ee451caede0
Hawaii,SB956,Relating To Marriage.,Birth Certificate Or Identification,1/27/2023,"Referred to HHS, JDC.",Safest,,https://legiscan.com/HI/bill/SB956/2023,"Chris Lee, Stanley Chang, Angus McKelvey",,ea902410faee1b6ac2ed98bbfdfadaba
Hawaii,HB485,Relating To Marriage.,Birth Certificate Or Identification,7/5/2023,"Act 179, 07/03/2023 (Gov. Msg. No. 1282).",Safest,,https://legiscan.com/HI/bill/HB485/2023,"Linda Ichiyama, Terez Amato, Troy Hashimoto, Kirstin Kahaloa, Jeanne Kapela, Darius Kila, Nicole Lowen, Lisa Marten, Amy Perruso, Adrian Tam, Chris Todd","Hearing 2023-02-03 08:30 Conference Room 329 VIA VIDEOCONFERENCE, Hearing 2023-02-09 14:00 Conference Room 325 VIA VIDEOCONFERENCE, Hearing 2023-02-23 13:30 Conference Room 308 VIA VIDEOCONFERENCE, Hearing 2023-03-15 13:00 Conference Room 225 & Videoconference, Hearing 2023-03-30 09:35 Conference Room 016 & Videoconference",409063bdaa7ff7fa189b065269a18efa
Maryland,HB361,Certificates of Birth - Issuance of New Certificates - Sex Designation (Birth Certificate Modernization Act),Birth Certificate Or Identification,2/7/2023,Hearing 2/21 at 1:00 p.m.,Safest,,https://legiscan.com/MD/bill/HB361/2023,"Stephanie Smith, Gabriel Acevero, Regina Boyce, Lorig Charkoudian, Mark Edelson, Kris Fair, Anne Kaiser, Mary Lehman, Robbyn Lewis, Julie Palakovich Carr, Karen Simpson, Jared Solomon, Vaughn Stewart, Joe Vogel, Melissa Wells",Hearing 2023-02-21 13:00 ,fe54dd5913c623c8a1964e408d5a095d
New Hampshire,HB264,Relative to amendments and corrections to birth records.,Birth Certificate Or Identification,5/18/2023,Full Committee Work Session: 05/24/2023 10:00 am Legislative Office Building 205-207,Moderate,,https://legiscan.com/NH/bill/HB264/2023,"Gerri Cannon, Alexis Simpson, Kristina Schultz, Linda Tanner, Charlotte DiLorenzo, Cassandra Levesque, Amanda Toll, David Watters, Debra Altschiller","Hearing 2023-02-01 09:45 Legislative Office Building 210-211, Hearing 2023-02-02 13:30 Legislative Office Building 210-211, Hearing 2023-02-08 13:30 Legislative Office Building 210-211, Hearing 2023-05-24 10:00 Legislative Office Building 205-207",8fc592fe612dc807dcc18c629586f174
New Jersey,A1171,"Requires modernization of all State blanks, forms, documents, and applications to incorporate new standards for collection of information about sex, gender, and sexual orientation.",Birth Certificate Or Identification,1/11/2022,"Introduced, Referred to Assembly Human Services Committee",Safest,,https://legiscan.com/NJ/bill/A1171/2022,"Mila Jasey, Ellen Park, Annette Quijano, Roy Freiman",,281ea1ffc3ed548ac0d4c9c516a3ad38
Texas,HB1020,Relating to the acceptance of identification for voters who identify as transgender.,Birth Certificate Or Identification,3/2/2023,Referred to Elections,Worst,,https://legiscan.com/TX/bill/HB1020/2023,Ron Reynolds,,917f74fdc564840fd654de00f300afe8
