"","State","Bill Link","Status","Bill Type"
"1","AL","SB 219","Referred to committee 3/10/20","Healthcare"
"2","AL","HB 303","Introduced 2/27/20","Healthcare"
"3","CO","HB 20-1114","Postponed Indefinitely 2/13/20","Healthcare"
"4","FL","SB 1864","Died in committee 3/14/20","Healthcare"
"5","FL","HB 1365","Died in committee 3/14/20","Healthcare"
"6","GA","HB 1060","Introduced 2/27/20","Healthcare"
"7","IA","HF 2272 / SF 2213","Introduced; Referred to Committee 2/7/20, 2/11/20","Healthcare"
"8","ID","H 465","Referred to Committee 2/11/20","Healthcare"
"9","KY","HB 321","Referred to Committee 1/28/20","Healthcare"
"10","MO","HB 1721","Public Hearing Completed 3/2/20","Healthcare"
"11","MS","SB 2490","Died in Committee 3/3/20","Healthcare"
"12","OH","HB 513","Referred to committee 3/10/20","Healthcare"
"13","OK","SB 1819","Referred to Committee 2/10/20","Healthcare"
"14","SC","H. 4716","Introduced 1/14/20","Healthcare"
"15","SD","HB 1057","Passed by House 1/29/20; Deferred to 41st legislative day 2/10/20","Healthcare"
"16","SD","SB 93","Withdrawn 2/4/20","Healthcare"
"17","TN","HB 2576","Hearing scheduled 3/17/20","Healthcare"
"18","TN","SB 2215","Referred to Committee 2/10/20","Healthcare"
"19","UT","HB 449","Filed for bills not passed 3/12/20","Healthcare"
"20","KY","HB132","Posted in Committee 2/21/20","Public Facilities"
"21","MS","SB 2240","Died in Committee 3/3/20","Public Facilities"
"22","TN","SB 1499","Active 5/1/19; House Bill substituted (carryover from 2019)","Public Facilities"
"23","TN","HB1247","Active 5/1/19 (carryover from 2019)","Public Facilities"
"24","AL","HB 20","Introduced; Referred to Committee 2/11/20","Youth Athletics"
"25","AL","HB 35","Passed in Committee 2/20/20","Youth Athletics"
"26","AZ","HB 2706","Transmitted to Senate 3/4/20","Youth Athletics"
"27","CO","HB 1273","Postponed Indefinitely 2/13/20","Youth Athletics"
"28","GA","HB 747","Prefiled 12/19/19","Youth Athletics"
"29","IA","HF 2202","Introduced; Referred to Committee 1/31/20","Youth Athletics"
"30","ID","HB 500","Signed by Speaker and President 3/18/20","Youth Athletics"
"31","IN","HB 1088","Introduced; Referred to Committee 1/16/20","Youth Athletics"
"32","KS","HB 2589","Introduced; Referred to Committee 2/7/20","Youth Athletics"
"33","KY","SB 114","Referred to Committee 1/27/20","Youth Athletics"
