Date,State,Bill,Bill Description,Bill Type,Status,Bill Link
2023-04-14,Kansas,SB180,Establishing the women's bill of rights to provide a meaning of biological sex for purposes of statutory construction.,Public Facilities,Passed,https://legiscan.com/KS/bill/SB180/2023
2023-04-13,Nebraska,LB574,Adopt the Let Them Grow Act,Healthcare,Passed,https://legiscan.com/NE/bill/LB574/2023
2023-04-13,Tennessee,SB1237,"As introduced, authorizes a private school to create a policy to regulate a student's participation in the school's athletic activities or events based upon a student's biological sex. - Amends TCA Title 49, Chapter 1 and Title 49, Chapter 50.",Youth Athletics,Crossed Over,https://legiscan.com/TN/bill/SB1237/2023
2023-04-12,North Dakota,HB1249,"AN ACT to create and enact chapter 15.1-41 of the North Dakota Century Code, relating to requiring schools to designate their athletic teams and sports for male, female, or coed participation and limitations on use of governmental property for athletic events.",Youth Athletics,Signed/Enacted,https://legiscan.com/ND/bill/HB1249/2023
2023-04-12,North Dakota,HB1489,"AN ACT to create and enact chapter 15-10.6 of the North Dakota Century Code, relating to requiring institutions of higher education designating athletic teams and sports for male, female, or coed participation.",Youth Athletics,Signed/Enacted,https://legiscan.com/ND/bill/HB1489/2023
2023-04-11,Indiana,HB1608,"Education matters. Provides that a school, an employee or staff member of a school, or a third party vendor used by a school to provide instruction may not provide any instruction to a student in prekindergarten through grade 3 on human sexuality. Provides that a school employee or a school staff member is not prohibited from responding to a question from a student regarding certain topics. Requires a school to notify in writing at least one parent of a student, if the student is an unemancipated minor, of a request made by the student to change the student's name or pronoun, title, or word to identify the student.",Healthcare,Passed,https://legiscan.com/IN/bill/HB1608/2023
2023-04-10,North Dakota,HB1139,"AN ACT to amend and reenact sections 23-02.1-01, 23-02.1-13, and 23-02.1-15 of the North Dakota Century Code, relating to required elements of birth records.",ID Updates,Signed/Enacted,https://legiscan.com/ND/bill/HB1139/2023
2023-04-10,Oklahoma,SB1196,"Multiple versions of statutes; amending, merging, consolidating and repealing multiple versions of statutes. Emergency.",ID Updates,Introduced*,https://legiscan.com/OK/bill/SB1196/2023
2023-04-07,Arkansas,HB1615,To Create The Conscience Protection Act; And To Amend The Religious Freedom Restoration Act.,Nondiscrimination Protections,Passed,https://legiscan.com/AR/bill/HB1615/2023
2023-04-06,Arkansas,HB1468,"To Create The Given Name Act; And To Prohibit Requiring Employees Of Public Schools And State-supported Institutions Of Higher Education To Use A Person's Preferred Pronoun, Name, Or Title Without Parental Consent.",Schools / Education,Passed,https://legiscan.com/AR/bill/HB1468/2023
2023-04-06,Arkansas,SB125,Concerning Free Speech Rights At State-supported Institutions Of Higher Education.,Other,Passed,https://legiscan.com/AR/bill/SB125/2023
2023-04-06,Arkansas,SB270,To Amend The Criminal Offense Of Sexual Indecency With A Child.,Public Facilities,Passed,https://legiscan.com/AR/bill/SB270/2023
2023-04-06,Idaho,H0071,VULNERABLE CHILD PROTECTION ACT -- Adds to existing law to establish provisions regarding vulnerable child protection.,Healthcare,Signed/Enacted,https://legiscan.com/ID/bill/H0071/2023
2023-04-06,North Dakota,HCR3010,"A concurrent resolution urging public schools and public entities, including agencies or departments that collect vital statistics, to protect women's rights by distinguishing between the sexes according to biological sex at birth for the purpose of providing equal opportunities and ensuring the privacy and safety of women and girls.",Public Facilities,Signed/Enacted,https://legiscan.com/ND/bill/HCR3010/2023
2023-04-06,Tennessee,SB0466,"As introduced, specifies that a teacher or other employee of a public school or LEA is not required to refer to a student using the student's preferred pronoun if the pronoun is not consistent with the student's biological sex; insulates a teacher or other employee of a public school or LEA from civil liability and adverse employment action for referring to a student using the pronoun that is consistent with the student's biological sex. - Amends TCA Title 49, Chapter 6.",Schools / Education,Crossed Over,https://legiscan.com/TN/bill/SB0466/2023
2023-04-05,Alabama,HB261,"Relating to two-year and four-year public institutions of higher education; to amend Section 16-1-52, Code of Alabama 1975, to prohibit a biological male from participating on an athletic team or sport designated for females; to prohibit a biological female from participating on an athletic team or sport designated for males; to prohibit adverse action against a public K-12 school or public two-year or four-year institution of higher education for complying with this act; to prohibit adverse action or retaliation against a student who reports a violation of this act; and to provide a remedy for any student who suffers harm as a result of a violation of this act.",Youth Athletics,Introduced,https://legiscan.com/AL/bill/HB261/2023
2023-04-05,Indiana,SB0480,Gender transition procedures for minors. Prohibits a physician or other practitioner from: (1) knowingly providing gender transition procedures to an individual who is less than 18 years of age (minor); and (2) aiding or abetting another physician or practitioner in the provision of gender transition procedures to a minor. Specifies certain medical exceptions. Establishes civil enforcement actions.,Healthcare,Signed/Enacted,https://legiscan.com/IN/bill/SB0480/2023
2023-04-05,Kansas,HB2238,Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.,Youth Athletics,Signed/Enacted,https://legiscan.com/KS/bill/HB2238/2023
